msg_id,timestamp_recv,msg_size_bytes
0,1745256059.6617594,7200
1,1745256059.6617913,800
2,1745256059.6720293,14480
3,1745256059.672187,47784
4,1745256059.672211,26064
5,1745256059.672569,195232
6,1745256059.6734085,724440
7,1745256059.68417,1000000
8,1745256059.6843739,8000
9,1745256059.693551,65160
10,1745256059.6935806,65160
11,1745256059.6939595,493768
12,1745256059.6943514,383912
13,1745256059.7048745,525624
14,1745256059.7052171,130320
15,1745256059.7054272,352056
16,1745256059.7151794,551688
17,1745256059.7156532,456312
18,1745256059.7254894,260640
19,1745256059.725615,253400
20,1745256059.7257235,130320
21,1745256059.7258897,359984
22,1745256059.725905,1448
23,1745256059.726195,1448
24,1745256059.7262092,760
25,1745256059.7365959,564720
26,1745256059.7370398,443280
27,1745256059.7474642,592232
28,1745256059.7477765,65160
29,1745256059.7479794,350608
30,1745256059.7579212,622640
31,1745256059.7583632,385360
32,1745256059.7683687,653048
33,1745256059.7686768,354648
34,1745256059.7687767,304
35,1745256059.7790055,521280
36,1745256059.7791028,165072
37,1745256059.7792728,320240
38,1745256059.7793808,1408
39,1745256059.7898276,721104
40,1745256059.790009,130320
41,1745256059.7900836,155776
42,1745256059.7901878,800
43,1745256059.8005304,757304
44,1745256059.8007994,250544
45,1745256059.80089,152
46,1745256059.8111856,651600
47,1745256059.8112833,143352
48,1745256059.811382,211944
49,1745256059.8114376,1104
50,1745256059.8218777,65160
51,1745256059.82265,834048
52,1745256059.8229175,108792
53,1745256059.8328624,878936
54,1745256059.8330264,65160
55,1745256059.8330622,63904
56,1745256059.8431802,781920
57,1745256059.8432727,141904
58,1745256059.8433478,83872
59,1745256059.8435614,304
60,1745256059.853605,130320
61,1745256059.8542664,876920
62,1745256059.854436,760
63,1745256059.8645015,65160
64,1745256059.8655486,942080
65,1745256059.8658247,760
66,1745256059.8750806,260640
67,1745256059.875115,65160
68,1745256059.8751655,130320
69,1745256059.8751948,65160
70,1745256059.875225,65160
71,1745256059.8752906,130320
72,1745256059.8753233,65160
73,1745256059.8753703,130320
74,1745256059.875408,87760
75,1745256059.8754456,1448
76,1745256059.8755722,152
77,1745256059.8755877,4800
78,1745256059.8756263,800
79,1745256059.8756719,800
80,1745256059.886614,1000000
81,1745256059.8866386,8000
82,1745256059.8970563,1000000
83,1745256059.8970857,5792
84,1745256059.8973079,1448
85,1745256059.8973281,760
86,1745256059.9072924,65160
87,1745256059.907323,65160
88,1745256059.9080212,877680
89,1745256059.918971,1000000
90,1745256059.9191718,7240
91,1745256059.9191873,760
92,1745256059.9293473,1000000
93,1745256059.929367,8000
94,1745256059.9397738,1000000
95,1745256059.9397995,4344
96,1745256059.9400094,2896
97,1745256059.9400353,760
98,1745256059.9506998,1000000
99,1745256059.9507189,8000
100,1745256059.9611464,1000000
